Church Hill Place,03/11/2009,2,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Craigmount Loan,09/09/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Wolrige Road,10/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Riselaw Crescent,18/06/2009,3,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Ferry Road Place,16/12/2009,2,1,1,2,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0
Comiston Drive,22/02/2011,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Alderbank Terrace,25/02/2009,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Hillend Place,,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Swanston Village,11/02/2011,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Upper Dean Place,22/06/2010,3,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Southfield Terrace,08/09/2009,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Old Assembley Close,,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Cavalry Park Drive,08/09/2009,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Echline Place,24/06/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
West Bow,22/06/2010,1,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Baird Avenue,23/06/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Balgreen Gardens ,15/06/2010,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
South Steil,10/06/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
St Andrews Square,31/10/2008,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Boswell Place,12/06/2009,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Inglis Green Road,23/06/2009,3,1,1,2,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
Whins Place,,2,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Dumbryden Drive,10/06/2010,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Baberton Mains Wynd,14/10/2008,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Grays Court,18/09/2008,2,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Niddrie House Square,22/02/2011,2,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Pilrig Gardens,22/10/2010,2,2,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,1,0
North Gyle Road,09/12/2008,3,1,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Peffer Place Industrial Estate,28/01/2010,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Vivian Terrace,23/06/2009,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Forrester Road,,3,1,1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0
