North Bughtlin Brae	EH12 8XH	3	55.954573	-3.3039958	
Madeira Place	EH6 4AN	13	55.9756224	-3.1832822	
Lanark Road West	EH14 5EN	2	55.9020103	-3.2888302	
Ferry Gair Drive	EH4 4GJ	4	55.966821	-3.2605078	
Wardieburn Place West	EH5 1EE	4	55.9776417	-3.2289001	
St Leonard'S Hill	EH8 9RZ	15	55.9438716	-3.1787452	
Craighall Avenue	EH6 4RP	4	55.9760288	-3.1958736	
Murieston Terrace	EH11 2LH	7	55.9401264	-3.2263845	
Relugas Gardens	EH9 2PU	15	55.9302618	-3.1789397	
Chancelot Terrace	EH5 3AA	5	55.9721422	-3.1975593	
Main Street	 Davidson'S Mains	EH4 5BH	1	55.965584	-3.2690313
Broombank Terrace	EH12 7NY	6	55.9336196	-3.28327	
Crarae Avenue 	EH4 3JD	5	55.9512925	-3.234979	
Old Liston Road	EH28 8SJ	1	55.939492	-3.4079927	
Cramond Green	EH4 6NJ	1	55.9748295	-3.3000075	
Gilmore Place Lane	EH3 9RQ	9	55.9417123	-3.2078193	
Meadowfield Terrace	EH8 7PD	14	55.9444756	-3.1411191	
North Bank Street	EH1 2NE	11	55.9499731	-3.1940404	
Greenend Gardens	EH17 7QH	16	55.9132509	-3.1497282	
Pinkhill	EH12 7FA	6	55.9412308	-3.2667091	
Cockburn Street	EH1 1NY	11	55.9506139	-3.1900501	
Kilchurn Court	EH12 8GH	3	55.9473415	-3.3079629	
Balgreen Road	EH12 5XE	6	55.9389459	-3.2513847	
Walker Drive	EH30 9RS	1	55.9903197	-3.4087762	
Dinnies Close	EH1 3EG	11	55.953252	-3.188267	
Buckstone Wynd	EH10 6UQ	8	55.9056714	-3.1996815	
Haddon'S Court	EH8 9EL	15	55.944245	-3.1826762	
Baberton Mains Row	EH14 3EH	2	55.9091092	-3.2840503	
Rankin Avenue	EH9 3DB	15	55.9259422	-3.1756218	
Carrubbers Close	EH1 1SF	11	55.950678	-3.1870061	
Fountainhall Road	EH9 2LN	15	55.931619	-3.1819378	
Turner Avenue	EH14 7BS	2	55.889578	-3.3438398	
Scotland Street Lane	EH3 6RU	11	55.9585484	-3.198235	
Farrer Terrace	EH7 6SE	14	55.9552951	-3.1308727	
Darly Gait	EH11 2AU	7	55.9443768	-3.2190251	
Queens Road	EH4 2DA	5	55.9589268	-3.2479397	
Murdoch Terrace	EH11 1BE	9	55.9398138	-3.2178129	
Hampton Place	EH12 5JA	6	55.9450456	-3.2280968	
Brunstane Road	EH15 2QX	17	55.9470225	-3.1020485	
Allan Park	EH29 9HA	1	55.957608	-3.4090137	
Queens Park Avenue	EH8 7ED	14	55.9540377	-3.1550027	
Carlton Street	EH4 1NE	5	55.957217	-3.2109277	
Morningside Road	EH10 4AX	10	55.9296324	-3.2096585	
Calton Hill Footpath 22-26	EH1 3EG	11	55.953252	-3.188267	
Mount Grange	EH9 2QX	15	55.9341468	-3.1955015	
Woodhall Bank	EH13 0HJ	8	55.9016086	-3.266984	
East Preston Street Lane	EH8 9QH	15	55.939023	-3.1782457	
Corbiehill Road	EH4 5EB	1	55.9639816	-3.2665821	
Queen'S Road	EH4 2DA	5	55.9589268	-3.2479397	
Trinity Grove	EH5 3HB	4	55.9761063	-3.2056247	
Murieston Crescent	EH11 2LL	7	55.9406639	-3.2265837	
East Pilton Farm Wynd	EH5 2GL	4	55.9731805	-3.2246374	
Horse Wynd	EH8 8AZ	11	55.9519602	-3.1737179	
Villa 					
