Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
HIGH SCHOOL YARDS,18/08/2008,09:53,B,2,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
JANE TERRACE,18/08/2008,10:10,B,2,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
MENTONE AVENUE,18/08/2008,10:40,B,2,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
NIDDRIE HOUSE AVENUE,18/08/2008,11:20,C,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
PIERSFIELD GROVE,18/08/2008,10:35,B,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
RICHMOND LANE,18/08/2008,10:00,B,2,1,1,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0
ABERCORN ROAD,18/08/2008,11:00,B,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
BLACKET PLACE,18/08/2008,11:25,B,3,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
BUCKSTONE GATE,18/08/2008,12:40,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CRAIGHOUSE TERRACE,18/08/2008,12:30,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
EDEN LANE,18/08/2008,12:15,A,3,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
HATTON PLACE,18/08/2008,11:30,B,3,1,1,1,2,3,1,0,0,1,1,1,0,1,0,0,0,0,0
LASSWADE BANK,18/08/2008,12:50,B,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
LOGANLEA TERRACE,18/08/2008,10:20,B,3,1,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0
MILTON STREET,18/08/2008,10:15,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
NETHER CRAIGOUR,18/08/2008,14:10,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
MOSTON TERRACE,18/08/2008,11:35,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
NELLFIELD,18/08/2008,14:00,B,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
NORTHFIELD CRESCENT,18/08/2008,11:10,B,3,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
PITSLIGO ROAD,18/08/2008,12:10,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ROBERT BURNS DRIVE,18/08/2008,13:00,B,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
SEAFIELD PLACE,18/08/2008,10:30,C,3,1,1,1,1,2,1,1,0,1,1,1,0,1,0,0,0,0,0
ST MARGARET'S ROAD,18/08/2008,12:05,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
ULSTER GARDENS,18/08/2008,11:15,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WEST POWERBURN,18/08/2008,14:15,B,3,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
MAYFIELD GARDENS LANE,18/08/2008,11:50,B,4,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
ROYAL CIRCUS,18/08/2008,14:40,A,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
